id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison,id_date
ORD-000001,C00907,P093,2026-01-15,3,4435.51,livré,Fès,Cash,L000,2026-01-18,20260115
ORD-000003,C01094,P088,2025-06-06,3,4317.81,retourné,Tanger,Cash,L012,,20250606
ORD-000004,C01440,P070,2025-07-04,1,6438.16,retourné,Fès,Card,L015,,20250704
ORD-000007,C03642,P080,2025-06-07,5,9454.03,retourné,Fès,Cash,L012,,20250607
ORD-000008,C02999,P047,2025-08-25,2,12599.54,livré,Agadir,Cash,L012,2025-08-30,20250825
ORD-000009,C01277,P079,2025-09-29,1,11402.26,en_cours,Agadir,Cash,L011,,20250929
ORD-000012,C00029,P081,2026-04-03,5,6927.1,en_cours,Meknès,Transfer,L014,,20260403
ORD-000013,C03066,P084,2026-03-11,4,2837.9,retourné,Meknès,Transfer,L009,,20260311
ORD-000016,C04354,P081,2025-08-02,5,6927.1,retourné,Casablanca,Card,L015,,20250802
ORD-000018,C00727,P062,2026-03-28,3,2873.94,retourné,Tanger,Card,L020,,20260328
ORD-000020,C00795,P042,2025-11-24,2,1281.09,livré,Meknès,Transfer,L018,2025-11-26,20251124
ORD-000021,C00441,P015,2025-11-07,1,7919.83,annulé,Rabat,Card,L004,,20251107
ORD-000023,C00615,P095,2026-01-20,4,10216.02,livré,Tanger,Transfer,L002,2026-01-21,20260120
ORD-000024,C03439,P038,2026-04-27,1,1743.53,DONE,Casablanca,Cash,L010,,20260427
ORD-000026,C02383,P056,2026-03-17,3,12291.32,livré,Fès,Transfer,L003,2026-03-18,20260317
ORD-000027,C01134,P054,2025-08-03,4,9755.66,en_cours,Marrakech,Cash,L016,,20250803
ORD-000031,C02149,P033,2025-07-10,1,5311.64,annulé,Meknès,Card,L004,,20250710
ORD-000034,C00027,P066,2025-06-10,3,4450.73,en_cours,Rabat,Card,L005,,20250610
ORD-000036,C00581,P053,2025-11-18,3,4181.07,livré,Tanger,Cash,L014,2025-11-21,20251118
