id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
ORD-000001,C00907,P093,2026-01-25,3,4435.51,livré,Fès,Cash,,2026-01-28
ORD-000002,C03664,P100,30/05/2025,2,957.62,retourné,Marrakech,Transfer,L012,
ORD-000003,C01094,P088,2025-06-16,3,4317.81,retourné,TANGER,Cash,L012,
ORD-000004,C01440,P070,2025-07-14,1,6438.16,retourné,Fès,Card,L015,
ORD-000005,C01878,P051,27/11/2025,5,11974.15,livré,TNG,Cash,L007,2025-11-29
ORD-000006,C02972,P003,Nov 10 2025,2,2340.64,livré,Rabat,Cash,L012,2025-11-15
ORD-000007,C03642,P080,2025-06-17,5,9454.03,retourné,Fès,Cash,L012,
ORD-000008,C02999,P047,2025-09-04,2,12599.54,livré,Agadir,Cash,L012,2025-09-09
ORD-000009,C01277,P079,2025-10-09,1,11402.26,en_cours,Agadir,Cash,L011,
ORD-000010,C01293,P005,08/12/2025,5,696.91,annulé,Casablanca,Transfer,L006,
ORD-000011,C04614,P052,04/10/2025,3,6434.91,DONE,Oujda,Cash,L007,
ORD-000012,C00029,P081,2026-04-13,5,6927.1,en_cours,Meknès,Transfer,L014,
ORD-000013,C03066,P084,2026-03-21,4,2837.9,retourné,Meknès,Transfer,L009,
ORD-000014,C03084,P027,09/09/2025,4,1508.72,annulé,Rabat,Transfer,L017,
ORD-000015,C00442,P017,2025-11-05,4,0.0,en_cours,Fès,Cash,L001,
ORD-000016,C04354,P081,2025-08-12,5,6927.1,retourné,Casablanca,Card,L015,
ORD-000017,C03419,P008,16/05/2026,3,13697.91,annulé,Meknès,Card,L001,
ORD-000018,C00727,P062,2026-04-07,3,2873.94,retourné,tanger,Card,L020,
ORD-000019,C02191,P085,09/01/2026,4,12173.02,annulé,Rabat,Cash,L010,
ORD-000020,C00795,P042,2025-12-04,2,1281.09,livré,Meknès,Transfer,L018,2025-12-06
ORD-000021,C00441,P015,2025-11-17,1,7919.83,annulé,Rabat,Card,L004,
ORD-000022,C02649,P082,Jun 04 2025,1,8273.46,annulé,Tnja,Card,L001,
ORD-000023,C00615,P095,2026-01-30,4,10216.02,livré,Tnja,Transfer,L002,2026-01-31
ORD-000024,C03439,P038,2026-05-07,1,1743.53,DONE,Casablanca,Cash,L010,
ORD-000025,C03722,P080,11/05/2026,5,9454.03,annulé,Casablanca,Cash,L015,
ORD-000026,C02383,P056,2026-03-27,3,12291.32,livré,Fès,Transfer,L003,2026-03-28
ORD-000027,C01134,P054,2025-08-13,4,9755.66,en_cours,Marrakech,Cash,L016,
ORD-000028,C44510,P053,2025-09-07,4,4181.07,en_cours,Oujda,Card,L017,
ORD-000029,C03597,P007,Jul 15 2025,1,9603.6,retourné,Casablanca,Cash,L006,
ORD-000030,C04870,P096,Jan 12 2026,5,4433.71,retourné,Fès,Transfer,L011,
ORD-000031,C02149,P033,2025-07-20,1,5311.64,annulé,Meknès,Card,L004,
ORD-000032,C03164,P043,04/06/2025,2,376.14,livré,Rabat,Transfer,L015,2025-06-05
ORD-000033,C00259,P066,Apr 14 2026,5,4450.73,annulé,tanger,Card,,
